name,bus0,bus1,c_nfkm,cables,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm,x,r,b,s_max_pu,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
310,233,227,13.7,3.0,50.0,1641476.0,2.6,16.751,16751.0,1.0,Amprion,Donau West,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.88551509756969 48.3040743584705,10.0821573264928 48.2660901578788)",0.25,4.1207460000000005,0.50253,7.262224958559003e-05,0.7,0,AC,2.8537022160664825e-05,3.4801246537396125e-06,1711.26619788,380.0
311,237,238,11.5,3.0,,1641479.0,1.3,39.816,39816.0,1.0,Amprion,Heisdorf - Trier Süd,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.13981113770544 49.6686086456422,6.62053556843084 49.7489386710632)",0.32,11.984616,2.38896,0.00015635706636916402,0.7,0,AC,0.00024761603305785125,4.935867768595041e-05,495.366530965,220.0
312,110,198,13.7,3.0,50.0,1703681.0,2.6,2.163,2163.0,1.0,Amprion,Westfalen E,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(7.99288723332679 51.6837077155955,7.9706568937083 51.6768446667846)",0.25,0.532098,0.06488999999999999,9.377465575406317e-06,0.7,0,AC,3.6848891966759e-06,4.49376731301939e-07,1711.26619788,380.0
313,212,100,13.7,3.0,,1641482.0,2.6,45.951,45951.0,1.0,Amprion,Gilzem Ost,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.81368431456473 49.7248340737293,6.47473977006816 49.9224692993999)",0.25,11.303946,1.37853,0.00019921586715464435,0.7,0,AC,7.828217451523545e-05,9.546606648199446e-06,1711.26619788,380.0
314,100_220kV,239,11.5,3.0,,1641485.0,1.3,26.324,26324.0,1.0,Amprion,Niederstedem Ost,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.47473977006816 49.9224692993999,6.70228540768092 49.8289944201161)",0.32,7.9235240000000005,1.57944,0.00010337410626637216,0.7,0,AC,0.000163709173553719,3.2633057851239665e-05,495.366530965,220.0
315,238,100_220kV,11.5,3.0,,1641488.0,1.3,22.939,22939.0,1.0,Amprion,Niederstedem West,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.62053556843084 49.7489386710632,6.47473977006816 49.9224692993999)",0.32,6.9046389999999995,1.37634,9.008124235087034e-05,0.7,0,AC,0.00014265783057851238,2.843677685950413e-05,495.366530965,220.0
316,213,240,,3.0,50.0,1641698.0,,25.189,25189.0,1.0,Amprion,Marxheim Ost,,,1715.0,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.58869049603326 49.8155140579794,8.53151493939883 50.047874332134)",,7.581888999999999,1.51134,9.891697168909164e-05,0.7,0,AC,0.0001566505991735537,3.122603305785124e-05,1715.0,220.0
317,241,242,13.7,3.0,50.0,1641699.0,2.6,56.963,56963.0,1.0,Amprion,Hessen Ost,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.4713716330449 50.0972077427754,8.06573796639762 50.4060681118621)",0.25,14.012898,1.70889,0.00024695726841048087,0.7,0,AC,9.70422299168975e-05,1.1834418282548477e-05,1711.26619788,380.0
318,70,241,13.7,3.0,50.0,1641702.0,2.6,18.92,18920.0,1.0,Amprion,Trebur Süd,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.38855636787547 49.9823050841271,8.4713716330449 50.0972077427754)",0.25,4.65432,0.5676,8.202572754816808e-05,0.7,0,AC,3.223213296398892e-05,3.930747922437673e-06,1711.26619788,380.0
319,70,241,13.7,3.0,50.0,1641706.0,2.6,44.127,44127.0,1.0,Amprion,Trebur Nord,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.38855636787547 49.9823050841271,8.4713716330449 50.0972077427754)",0.25,10.855242,1.32381,0.0001913081014544404,0.7,0,AC,7.517480609418283e-05,9.167659279778392e-06,1711.26619788,380.0
